"","COUNTRY","Agricultural.Land....","Land.Area.Km2.","Forested.Area....","X2023","Population","Import..US..Thousand.","landlocked","Avg_21_23","invasive_count"
"21","Bosnia and Herzegovina",43.1,"51,197","42.70",20047848435,3301000,8872835.61,"NO",22741640597.3333,68
"22","Botswana",45.6,"581,730","18.90",18340510789,2346179,5915412.01,"YES",19143299751,53
"23","Brazil",33.9,"8,515,770","58.90",1839758040766,212559417,313645918.42,"NO",1803158857973.33,259
"24","Bulgaria",46.3,"110,879","35.40",8.6e+10,6975761,42712622.03,"NO",86367264688,50
"25","Burkina Faso",44.2,"274,200","19.30",15745810235,20321378,4412474.77,"YES",18122681950.3333,5
"26","Burundi",79.2,"27,830","10.90",3012334882,11530580,125702.04,"YES",2953849419,5
"27","Cambodia",30.9,"181,035","52.90",27089389787,16486542,29706982.66,"NO",28002406822.6667,39
"28","Cameroon",20.6,"475,440","39.30",38760467033,25876380,5446285.72,"NO",42813466309.3333,9
"29","Canada",6.9,"9,984,670","38.20",1736425629520,36991981,515729589.94,"NO",1959250799539.33,253
"30","Central African Republic",8.2,"622,984","35.60",2220307369,4745185,130266.7,"YES",2373141465.33333,8
"31","Chad",39.7,"1,284,000","3.80",11314951343,15946876,2982369.85,"YES",11933027505.6667,0
"32","Chile",21.2,"756,096","24.30",282318159745,18952038,100664759.24,"NO",300018995564,246
"33","China",56.2,"9,596,960","22.40",1.991e+13,1397715000,3383435785.34,"NO",18564543287843.7,356
"34","Colombia",40.3,"1,138,910","52.70",323802808108,50339443,45804724.7,"NO",328751355648,96
"35","Comoros",71.5,"2,235","19.70",1185728677,850886,63256.72,"NO",1241445854.33333,32
"36","Costa Rica",34.5,"51,100","54.60",61773944174,5047561,21934564.66,"NO",64923754886,90
"37","Croatia",27.6,"56,594","34.40",60415553039,4067500,19128880.55,"NO",66741278048.3333,109
"38","Cuba",59.9,"110,860","31.30",1.00023e+11,11333483,1729506.27,"NO",1.00023e+11,378
"39","Cyprus",12.2,"9,251","18.70",24564647935,1198575,4005555.31,"NO",27137255046,39
"40","Denmark",62,"43,094","14.70",348078018464,5818553,112597864.05,"NO",380595065936.667,130
"41","Djibouti",73.4,"23,200","0.20",3318716359,973560,385980.41,"NO",3402037632,6
"42","Dominica",33.3,"751","57.40",596033333,71808,33776.53,"NO",587782715.933333,24
"43","Dominican Republic",48.7,"48,670","41.70",88941298258,10738958,11617077.67,"NO",98942194059.6667,56
"44","Ecuador",22.2,"283,561","50.20",107435665000,17373662,29349485.64,"NO",109550335666.667,52
